variant,seed,test_year,group,features,sharpe_loss,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,123,2025,RegimeEGScore,RegimeEGScore,-0.476105,-0.0640976,22.62,-19.1,-4.459999999999999
Full IQN,123,2025,RegimeHLScore,RegimeHLScore,0.015894999999999992,0.002643999999999996,27.660000000000004,-16.25,-6.299999999999999
Full IQN,123,2025,RegimeCVScore,RegimeCVScore,-0.74865,-0.10043315,19.380000000000003,-6.6,-2.379999999999998
Full IQN,123,2025,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.448495,-0.05951144999999999,24.42,-5.3,-0.6799999999999986
Full IQN,123,2025,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.5195299999999999,-0.0690952,31.3,-7.35,-1.2199999999999984
Full IQN,123,2025,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,0.42026,0.05563914999999999,56.94,-9.5,-0.8799999999999987
Full IQN,2024,2021,ZScore20,ZScore20,0.205,0.042831749999999946,22.41035856573705,12.2,-0.6175298804780901
Full IQN,2024,2021,SpreadReturn,SpreadReturn,-0.125875,-0.037093850000000025,31.633466135458168,0.4,-3.2669322709163366
Full IQN,2024,2021,RollStd20,RollStd20,0.06025500000000002,-0.004718650000000028,32.03187250996016,1.05,4.501992031872508
Full IQN,2024,2021,DeltaBeta5d,DeltaBeta5d,0.48715,0.09624549999999994,30.0,5.85,0.6972111553784842
Full IQN,2024,2021,VolS_roll20,VolS_roll20,0.26722999999999997,0.05922544999999996,27.39043824701195,-2.1,0.6772908366533841
Full IQN,2024,2021,VolSM_roll20,VolSM_roll20,0.40634,0.08537774999999993,21.573705179282868,2.65,3.1474103585657343
Full IQN,2024,2021,RegimeEGScore,RegimeEGScore,-0.12466499999999996,-0.029819000000000012,1.294820717131474,0.0,0.6175298804780862
Full IQN,2024,2021,RegimeHLScore,RegimeHLScore,-0.34296499999999996,-0.0763422,9.362549800796812,-1.9,-1.8127490039840661
Full IQN,2024,2021,RegimeCVScore,RegimeCVScore,0.21683500000000003,0.04475414999999996,32.15139442231076,10.3,4.9203187250996
Full IQN,2024,2021,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.21159,-0.046808600000000006,9.163346613545816,-1.2,-1.673306772908369
Full IQN,2024,2021,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.16565499999999997,-0.03915470000000002,32.27091633466135,8.1,0.2988047808764918
Full IQN,2024,2021,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,0.172045,0.007486899999999968,50.79681274900398,5.95,1.8525896414342604
Full IQN,2024,2022,ZScore20,ZScore20,-0.51646,-0.1403929,16.34,9.15,-0.4400000000000002
Full IQN,2024,2022,SpreadReturn,SpreadReturn,-0.11886000000000001,-0.03316425000000002,30.82,14.2,0.5799999999999997
Full IQN,2024,2022,RollStd20,RollStd20,-1.959635,-0.5277029499999999,26.1,10.8,0.29999999999999977
Full IQN,2024,2022,DeltaBeta5d,DeltaBeta5d,0.14354,0.03827894999999999,24.72,10.55,0.8399999999999999
Full IQN,2024,2022,VolS_roll20,VolS_roll20,-0.556055,-0.1511088,21.2,10.65,-0.7200000000000002
Full IQN,2024,2022,VolSM_roll20,VolSM_roll20,-0.553035,-0.15014355,22.6,9.2,-0.1000000000000002
Full IQN,2024,2022,RegimeEGScore,RegimeEGScore,-0.03824999999999998,-0.011000500000000007,7.3,2.7,0.6599999999999998
Full IQN,2024,2022,RegimeHLScore,RegimeHLScore,-0.19107000000000002,-0.051872000000000015,9.0,-0.1,-0.4000000000000002
Full IQN,2024,2022,RegimeCVScore,RegimeCVScore,-0.653355,-0.17756869999999997,16.6,6.8,-0.8000000000000002
Full IQN,2024,2022,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.4654,-0.12658975,8.02,0.9,-0.64
Full IQN,2024,2022,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.32161999999999996,-0.08741239999999999,19.119999999999997,8.65,-0.5800000000000002
Full IQN,2024,2022,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-0.727095,-0.19458915,40.88,9.45,-0.8200000000000001
Full IQN,2024,2023,ZScore20,ZScore20,1.330735,0.19818799999999998,26.204819277108435,-5.45,-2.8112449799196795
Full IQN,2024,2023,SpreadReturn,SpreadReturn,0.8536100000000001,0.12610205,37.088353413654616,2.4,-0.40160642570281213
Full IQN,2024,2023,RollStd20,RollStd20,0.7791399999999999,0.11887869999999998,29.919678714859437,-6.1,-3.7349397590361457
Full IQN,2024,2023,DeltaBeta5d,DeltaBeta5d,1.279635,0.19107879999999997,25.742971887550205,-0.55,-0.22088353413654688
Full IQN,2024,2023,VolS_roll20,VolS_roll20,1.13109,0.16974949999999997,37.168674698795186,-0.15,-2.650602409638555
Full IQN,2024,2023,VolSM_roll20,VolSM_roll20,0.484535,0.07170009999999999,30.461847389558233,0.35,-1.8072289156626513
Full IQN,2024,2023,RegimeEGScore,RegimeEGScore,0.754545,0.1116826,32.85140562248996,-6.85,-2.550200803212852
Full IQN,2024,2023,RegimeHLScore,RegimeHLScore,0.15903499999999998,0.022607899999999993,22.389558232931726,-7.95,-2.83132530120482
Full IQN,2024,2023,RegimeCVScore,RegimeCVScore,-0.12249499999999999,-0.016519450000000005,15.863453815261044,4.1,2.971887550200803
Full IQN,2024,2023,EG + Half-life,RegimeEGScore + RegimeHLScore,0.009114999999999995,-0.0007013500000000005,30.28112449799197,-7.25,-3.212851405622491
Full IQN,2024,2023,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,0.01788999999999998,0.00033864999999999,32.911646586345384,-8.65,-5.080321285140563
Full IQN,2024,2023,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,1.172875,0.17907194999999998,60.48192771084338,-4.9,-4.096385542168676
Full IQN,2024,2024,ZScore20,ZScore20,-0.79872,-0.10366019999999998,27.96812749003984,3.65,-2.7689243027888453
Full IQN,2024,2024,SpreadReturn,SpreadReturn,-0.46624499999999997,-0.060922249999999976,31.31474103585657,-3.75,-1.9721115537848615
Full IQN,2024,2024,RollStd20,RollStd20,-0.642935,-0.08513549999999999,28.40637450199203,1.9,-2.3705179282868536
Full IQN,2024,2024,DeltaBeta5d,DeltaBeta5d,0.11201000000000003,0.01793125000000002,26.235059760956176,8.55,-3.7250996015936257
Full IQN,2024,2024,VolS_roll20,VolS_roll20,-0.47625,-0.05770964999999999,37.68924302788845,-3.7,-6.513944223107569
Full IQN,2024,2024,VolSM_roll20,VolSM_roll20,-0.6538700000000001,-0.08129304999999999,48.42629482071713,-5.1,-8.585657370517929
Full IQN,2024,2024,RegimeEGScore,RegimeEGScore,-0.1427,-0.023649549999999974,8.764940239043824,-2.1,1.5139442231075688
Full IQN,2024,2024,RegimeHLScore,RegimeHLScore,0.33624,0.04270794999999998,11.035856573705178,-3.05,-1.6932270916334666
Full IQN,2024,2024,RegimeCVScore,RegimeCVScore,-0.4558,-0.06026509999999996,20.318725099601593,-1.0,-1.972111553784861
Full IQN,2024,2024,EG + Half-life,RegimeEGScore + RegimeHLScore,0.269495,0.03335385,11.175298804780876,-0.45,-0.41832669322709287
Full IQN,2024,2024,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.309685,-0.041432549999999985,23.107569721115535,3.75,-1.254980079681276
Full IQN,2024,2024,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-0.92867,-0.1187411,58.92430278884463,0.75,-3.6254980079681274
Full IQN,2024,2025,ZScore20,ZScore20,0.003740000000000013,0.00012875000000002224,20.619999999999997,12.1,1.9199999999999995
Full IQN,2024,2025,SpreadReturn,SpreadReturn,0.5682699999999999,0.07947294999999999,21.84,15.15,-1.5000000000000004
Full IQN,2024,2025,RollStd20,RollStd20,-0.26559,-0.036176199999999985,13.76,4.5,0.35999999999999954
Full IQN,2024,2025,DeltaBeta5d,DeltaBeta5d,0.31255499999999997,0.04373055000000001,21.16,7.65,0.7199999999999994
Full IQN,2024,2025,VolS_roll20,VolS_roll20,0.43062999999999996,0.05959335000000001,36.12,9.65,1.1799999999999995
