variant,seed,test_year,group,features,repeat,block_length,n_days,baseline_sharpe,perturbed_sharpe,sharpe_loss,baseline_net_pnl,perturbed_net_pnl,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,42,2021,VolS_roll20,VolS_roll20,6,20,251,-0.8102,-0.7588,-0.0514,-0.19155,-0.169088,-0.02246200000000001,24.701195219123505,3,8.366533864541829
Full IQN,42,2021,VolS_roll20,VolS_roll20,7,20,251,-0.8102,-0.2459,-0.5643,-0.19155,-0.05732,-0.13423,19.9203187250996,-13,2.7888446215139417
Full IQN,42,2021,VolS_roll20,VolS_roll20,8,20,251,-0.8102,-0.6434,-0.16680000000000006,-0.19155,-0.148124,-0.04342599999999999,16.733067729083665,-2,3.5856573705179287
Full IQN,42,2021,VolS_roll20,VolS_roll20,9,20,251,-0.8102,-0.0264,-0.7838,-0.19155,-0.006219,-0.185331,29.482071713147413,-10,2.7888446215139417
Full IQN,42,2021,VolS_roll20,VolS_roll20,10,20,251,-0.8102,-1.01,0.19979999999999998,-0.19155,-0.238665,0.04711499999999999,26.693227091633464,7,1.195219123505975
Full IQN,42,2021,VolS_roll20,VolS_roll20,11,20,251,-0.8102,-0.3809,-0.4293,-0.19155,-0.090671,-0.100879,22.31075697211155,-9,0.7968127490039834
Full IQN,42,2021,VolS_roll20,VolS_roll20,12,20,251,-0.8102,-1.1052,0.29499999999999993,-0.19155,-0.253879,0.06232900000000002,17.131474103585656,-4,1.195219123505975
Full IQN,42,2021,VolS_roll20,VolS_roll20,13,20,251,-0.8102,0.1514,-0.9616,-0.19155,0.03469,-0.22624,25.099601593625497,10,0.7968127490039834
Full IQN,42,2021,VolS_roll20,VolS_roll20,14,20,251,-0.8102,-1.1402,0.33000000000000007,-0.19155,-0.262385,0.07083499999999998,27.091633466135455,-10,3.187250996015937
Full IQN,42,2021,VolS_roll20,VolS_roll20,15,20,251,-0.8102,-0.8208,0.010599999999999943,-0.19155,-0.18534,-0.006209999999999993,29.08366533864542,-12,2.7888446215139417
Full IQN,42,2021,VolS_roll20,VolS_roll20,16,20,251,-0.8102,-1.2145,0.4042999999999999,-0.19155,-0.260004,0.06845400000000001,27.490039840637447,2,5.179282868525895
Full IQN,42,2021,VolS_roll20,VolS_roll20,17,20,251,-0.8102,-1.1137,0.3034999999999999,-0.19155,-0.250106,0.058556,24.701195219123505,-3,4.780876494023904
Full IQN,42,2021,VolS_roll20,VolS_roll20,18,20,251,-0.8102,-0.9395,0.12929999999999997,-0.19155,-0.216179,0.024629000000000012,26.693227091633464,8,0.7968127490039834
Full IQN,42,2021,VolS_roll20,VolS_roll20,19,20,251,-0.8102,-0.8458,0.035599999999999965,-0.19155,-0.195794,0.004243999999999998,27.490039840637447,1,0.3984063745019917
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,0,20,251,-0.8102,-1.1161,0.30590000000000006,-0.19155,-0.271356,0.07980599999999999,34.26294820717131,2,1.5936254980079667
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,1,20,251,-0.8102,-0.7242,-0.08600000000000008,-0.19155,-0.175461,-0.016088999999999992,34.26294820717131,3,5.976095617529879
